Job Title,Unnamed: 1,Key Skills,Role Category,Functional Area,Industry,Role,Min Experience
 Business Development Manager,, marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,3
 Senior Manager-fundraising,, fundraising| finance,Operations/Processes/Finance/Legal,"Financial Services , Banking , Investments , Insurance","Medical, Healthcare, Hospitals",Finance/Budgeting Manager,12
 Bulk Hiring Travel Sales Consultants US /UK Shifts Call ASAP,, worldspan| travel sales consultants| galileo| amadeus| gds,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),1
 UI Developer (Frontend Developer),, Front end| Email| PDF| MIN| UI| phone| Strategic HR| Doc| Consultancy| Recruitment,Programming & Design,"IT Software - Application Programming , Maintenance","Construction, Engineering, Cement, Metals",Software Developer,3
 Netsuite Technical Consultant,, CVS| ERP| Rest| middle east| Technical| Customization| E-commerce| CRM| Open| WHO,System Design/Implementation/ERP/CRM,"IT Software - ERP , CRM","IT-Software, Software Services",Outside Technical Consultant,3
"Java Full Stack – Technical Lead, Senior Engineer",,Java|Angular JS|Hibernate|Core Java|Technical Leader|Technical|Javascript|Spring|JQuery|JS framework,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,0
 ADM - External Affairs &amp; CSR - Bangalore,, senior management| ngo| key skills| Corporate Social Responsibility| Govt Liasioning| corporate pr| External Communications,CSR & Sustainability,CSR & Sustainability,"Automobile, Auto Anciliary, Auto Components",CSR Manager,8
 Immediate Opening Asp.net MVC Developers For Mumbai (worli),, Asp.Net MVC| entity framework| API,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3
 Home loan,, Loans| Direct Sales Associate| Policies| Bfsi| Finance| Sanction| WHO,Retail/Personal Banking,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Sales Officer,1
" Sr. Resident, General & Laparoscopic Surgery",, Monitoring| Senior Resident| RAM| DNB| Dmc,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Surgeon,2
 Angular Developer - Fulcrum Digital,, Angularjs| CSS| Responsive Web Design| Javascript| Bootstrap| HTML| JSON| JQuery| Web Development| Grunt,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4
,,networking|Network|Lead|Network|Lead|Network|Network|Lead|Network|networking|Lead|Leading|Network|Lead|Network|Lead|Network|Leading|Lead|Network|Network|Lead|Network|Lead|lead|Lead|Network|Network|Lead|Network|Network|Network|Lead|Networking|Lead|Lead|Network|Lead|Networking|Lead|Lead|Network|Network|Lead|Network|Networking|Lead|Lead|Lead|Lead|Network|Network|Lead,,,,,0
 Devops Engineer - Tools & Automation,, python| open source| database| Automation| java| linux| perl| Monitoring| nosql,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5
 Great Opportunity To join top MNCs in Kolkata! Grab them While it last,, PR| international bpo| chat process| Aviation| back office| web chat| Guest Relations| Public Speaking| bcom| fresher| inbound process| outbound| uk process| icse| communication skills| cbse,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),0
 QA Functional Testing,, QA| Functional testing,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,3
 Sales Engineer,, Sales Engineering,Retail Sales,"Sales , Retail , Business Development","Automobile, Auto Anciliary, Auto Components",Sales/Business Development Manager,2
Software Engineer - Unity Developer,,Design Development|Software Engineering|Lighting|Computer Science|Product Quality|Automation Testing|Asset Management|GUI|Object Oriented Programming|Android,Programming & Design,IT Software - Mobile,Telecom / ISP,Software Developer,0
 Associate Level 1 - Fund Accounting,, NAV calculation| Fund accounting| Automation| Corporate actions| Accounting| Process improvement| Analytical| Reconciliation| Standard operating procedures| Subject Matter Expert,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Executive/Accountant,1
 Associate Principal Analyst - Network Security Research,, Networking| Secondary research| Recruitment| Analyst| Network security| Research| IPS| Advisory| Firewall,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst,3
 Training Specialist,, Team Management| Training Need Analysis| sales training| Retail Sales| MS Office| Product Training| Training| Team Building| Skill Development| Retail Marketing| trainer| Regional Management| Competency Mapping| Training Delivery,,Other,"Telcom, ISP",Other,4
 Urgent Opening For Field Recruiter ,, hiring| HRIS| procurement| HR| sourcing| Recruitment| staffing,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,1
 JAVA Developer,, Computer science| Continuous improvement,Programming & Design,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer,4
 Urgent Openings For Pharma Freshers,, pharmaceutical| medical| Pharma| medical billing| healthcare,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Medical Representative,0
 Front End Developer - Wordpress/html/css/javascript,, CSS| Wordpress| MySQL| Javascript| PHP| HTML| JQuery| SEO| Ajax| Hosting,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3
Mechanical Maintenance – Btech / Diploma,,mechanical operation|preventive maintenance|mechanical|engineeringbreak down maintenance|mechanical maintenance,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers",Other,FMCG / Foods / Beverage,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers",0
 PHP Developer,, javascript| html| ajax| jquery| php mysql| smarty| api| analytical| third party| software development life cycle,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
Sr.consultant-power Distribution,,Renewable energy|Power distribution|Power sector|Banking|Electricals,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations",Accounting / Finance,Associate/Senior Associate -(NonTechnical),0
" Chinese, Spanish Language Expert (proofcheck Medical Content),",, spanish language expert| chinese| spanish| medical,Journalist/Writer,"Journalism , Editing , Content","Medical, Healthcare, Hospitals",Proof Reader,2
 Hiring for Tech Sales_Inbound UK/ US Voice Process,, Sales Associate| support| Voice process| Issue| Senior| Technical| Inbound calls| Bonus| US shift| Software,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),1
 SUPPORT Engineers (FEMALE CANDIDATES),, MCSE| Database| Support Engineer,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),1
 MS SQL Developer : 0 - 2 Years (only MALE Candidates),, SSRS| SQL Server| Stored Procedures| SQL Development| MS SQL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,1
 Machine Learning Engineer || Gurgaon/chandigarh Location,, GIT| Linux| Machine Learning| Python,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3
 Nurses,, GNM| Business Executive,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Internet, Ecommerce",Nurse,2
 Marketing Executive,, institutions| relationships| marketing executive| customer| customers| implementation| company| site| product,Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Direct Marketing Executive,2
HR Recruiter (volume Hiring),,Recruitment|Volume Hiring|HR|BPO Hiring|Sourcing|Interviewing|Onboarding|Staffing|Orientation|Human Resource Management,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR",BPO / Call Centre / ITES,HR Executive,0
 Java Full Stack Developer,, Java| CSS| Rest| Spring Mvc| Javascript| HTML| JPA| Spring Boot| JQuery| Web Services,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4
 GM Finance- Export Import Company,, financial analysis| financial planning| taxation| VP Finance,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","Export, Import",Head/VP/GM-Finance/Audit,10
 Content Writer,, Publishing| SEO| Content management| Social media| Wordpress| Management systems| Research| Brand awareness| Web technologies| Journalism,Content Development,"Journalism , Editing , Content","Advertising, PR, MR, Event Management",Content Developer,1
 Job Opening for Sm/avp_credit Audit_mumbai,, Auditing| Audit Planning| Risk Assessment| Banking| Credit Risk| Credit Policy,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Head/VP/GM-CFO/Financial Controller,7
 iOS Game Developer,, c++| development| gaming| C| software| HTML| ios| opengl| iphone| design| MySQL| JavaScript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3
 Hiring: Executive-business Developer(seller Acquisition) On Contract,, business development| e - commerce| sales executive| sales associate| sales officer| sales| field sales| mba fresher| fresher| new product development| channel sales,Retail Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer,1
 Java/j2ee Application Developer,, rest| java| sql| oop| angularjs| ui development| oracle,Programming & Design,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer,3
" Accepting Application for Intership for Java, PHP, Web Design, Android",, Javascript| PHP| HTML| Visualization| jQuery| web| Programming| Commerce| Web designing| Application| Android,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,0
 Automation-Expert-Senior-Automation-Expert,, Process automation| Commodity Markets| Artificial Intelligence| Market intelligence| Machine learning| Corporate| Relationship| Operations| Analytics| Robotics,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Team Lead/Technical Lead,3
 Product Manager- Marketing(consumer Durables),, IT Sales| Marketing Campaigns| Social Media| Btl| Marketing Management| Digital Marketing| Dealer Sales| Channel Partners| Communication Skills| Process Flow,Institutional Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager,5
 Embedded Android Engineer,, Android| Troubleshooting| Middleware| Firmware| SOC| Linux kernel| Bluetooth| Computer science| Test scripts| Test strategy,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","Semiconductors, Electronics",Software Developer,10
 Inbound International BPO Voice Process-US Shift,, Outbound| Antivirus| Technical support| Voice process| Technical Support Executive| US shift| Inbound voice process| Customer Service Executive| Comp| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),1
 Jr. Support Executives,,vide,Other,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Fresher,1
 Sales Executive,, Sales Executive| Cold calling| market research| customer profiling| sales executive| marketing executive| distributors| Business Development| sales strategy,Retail Sales,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Executive/Officer,0
 Recruitment Officer ,, Administration| HR| Recruitment| Recruitment Executive| IR,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,0
 Senior Principal Software Engineer,, Web development| Analytics| Healthcare| Software design| Monitoring| JIRA| Computer science| Backend| Inside sales| Cloud,Programming & Design,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Technical Architect,8
 Senior Branch Sales & Development Head - Agency - General Insurance,, Team Management| Advisory Services| General Insurance| Sales Initiatives| Financial Products| Distributor Sales| Branch Sales| Sales Development| Motor Insurance| Marketing,General Insurance,"Financial Services , Banking , Investments , Insurance",Insurance,Branch Manager,5
 Pharma/nutrition Sales Profile Opening with Hexagon Nutrition,, clinical pharmacy| mr| sales officer| territory executive| business development| sales executive,Retail Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Sales Executive/Officer,0
 Urgent job Position For SAP MDG Functional Analyst- All Over India,,vide,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",ERP Consultant,6
 Manager / Asst. Manager - Vendor Development ( Purchase ) - Gurgaon,, sap| procurement| scm| material| sheetmetal| sheet metal| purchase| VD| vendor development| sourcing| BOP,Purchase/Material Management,"Supply Chain , Logistics , Purchase , Materials","Industrial Products, Heavy Machinery",Purchase/Vendor Development Manager,7
 Java with AngularJS and Spring,, Angularjs| CSS| Core Java| DOM| Computer Science| Javascript| HTML| Spring| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3
 Manager- Admission,, data analysis| Admissions| placements| Help Desk| access controls| Asset Management,Other,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Other,2
 Full Time Academic Writer for Ca/cma- Accounting & Taxation,, academic research| accounting| taxation| ifrs| us gaap| international taxation| cost accounting| company secretary| auditing| company law| corporate law| icwa| cma,,Other,"Education, Teaching, Training",Other,0
 Sales Head for It Consulting Company in Gurgaon,, marketing| bdm| sales| business development| it sales| ncr| hardware sales,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager,4
 Adeeba Group is Currently hiring for US Inbound Tech Process.,, Outbound| Night shift| Service| English| process| Technical| Technical support| Inbound calls| Voice process| Group,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),2
 Mechanical Engineer Require For Shut Down,, RT| PT| MPI| NDT Inspection| NDT Level| Diploma| Quality Inspection| Level Ii| Inspection Engineering| Mechanical Engineering| UT,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Oil and Gas, Energy, Power, Infrastructure",Service/Maintenance Engineer,5
 CARE Specialist,, Customer service| Healthcare| Customer relationship| Windows| Graphic designing| CAD| Illustrator| Customer satisfaction| Application software,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Printing, Packaging",Associate/Senior Associate -(NonTechnical),2
 Opening For Fresher,, BPO| any graduate| Voice Process| Voice Support,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),0
 Technical Support Associate / Technical Sales Associate-Inbound Voice ,, Outbound| Antivirus| Comp| Technical support| Technical Support Associate| technical sales associate| Sales| Technical Associate| Voice support| Inbound calls,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),0
 Head of Maintenance,, Equipment Maintenance| Hydraulics| Inventory Management| Management Skills| Maintenance Head| Electricals,Senior Management,"Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Head/VP/GM-Production/Manufacturing/Maintenance,12
" Tcs Hiring For Support Analyst - Bigdata(apache Hadoop,aws Certified)",, hive| apache| itil process| hadoop| big data| aws| core java,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
 Job Opening For Corporate Sales (insurance Broking) Mumbai/ Bangalore,, motor insurance| insurance sales| insurance broking| general insurance,Corporate Sales,"Sales , Retail , Business Development",Insurance,Sales/Business Development Manager,3
Spring Boot,,SQL|Hibernate|Multithreading|OOAD|Eclipse|Business process|Outsourcing|Version control|Memory management|Control system,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Team Lead/Technical Lead,0
 Sr. Engineer Design (Mechanical),, CATIA| AutoCAD| Pressure vessels| Mechanical| Primavera| PSCAD,Engineering Design,"Engineering Design , R&D","Strategy, Management Consulting Firms",Senior Design Engineer,2
 Senior Manager Cost & Program Management,, Team Management| Project Execution| Program Management| Customer Experience| Data Analytics| Supply Chain| Operations Planning,Purchase/Material Management,Purchase / Logistics / Supply Chain,"Internet, Ecommerce",Purchase/Vendor Development Manager,6
 Manager Sales Commercial Segment,, business development management| Sales Management,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property",Sales/Business Development Manager,4
 Outbound Sales Executive,, Outbound Sales| tele sales| Sales Executive Activities,,Other,Other,Other,1
 US Tech Process,, Technical support| Outbound| Comp| Technical| Domestic BPO| US shift| process| Inbound calls| Bonus,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),0
" Community Manager,",, Operations| Inventory Management| Vendor Management| Bhm| Hospitality| Front Office| Guest Relations| Hospitality Management| hotel management,Front Office/Customer Care,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager,0
 Software Engineer- Mobile Applications - Android,, financial s| windows| android| mobile development,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3
 Hardware Board Design Engineer,, Hardware Board Design| Mixed Signal| Design Engineering,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer,3
 Corporate Head - Operations,, environment| functional| operations| business| verbal communication| coaching| analytical skills,Senior Management,"ITES , BPO , KPO , LPO , Customer Service , Operations","Security, Law Enforcement",Head/VP/GM-Operations,5
 HR Recruitment Executive,, Screening| Linkedin| IT Recruitment| hr recruitment| Database| recruiter| Sourcing| Interviewing| Recruitment,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","BPO, Call Centre, ITeS",Recruitment Executive,1
 Software Engineer Android,, java| linux| server| development| eclipse ide| c| technical| mobile| eclipse| objective c| usability| ui| design| debugging| backend| developer| programming| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
 Sales Coordinator,, Retail Sales| Sales Executive Activities| Revenue Generation| Inhouse Sales,Retail Sales,"Sales , Retail , Business Development","Retail, Wholesale",Counter Sales,0
 Ecommerce Executive,, BPO| Customer Support| international bpo| Voice Process| International Voice| International Voice Process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),0
 Team Lead / Dev Lead,, J2Ee| Core Java| jQuery| ERP| Tomcat| Eclipse| Open source| Selenium| Computer science| OFBIZ,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead,5
 Andriod Developer,, Android Development| Android Studio| Java| Troubleshooting| API Testing| API,,Other,"Media, Entertainment, Internet",Other,0
 Physics Teacher,, Counselor| Mentor| Trainer| Advisor| Teaching,Subject Teachers (TGT/PGT),"Teaching , Education , Training , Counselling","Education, Teaching, Training",Physics Teacher,4
 Manager Sales &amp; Marketing,, lead generation| branding| business development| Sales Management| market research| competitive intelligence| market analysis| Marketing,Institutional Sales,"Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Sales/Business Development Manager,12
 Design Engineer,, Wireless| Automation| Simulation| Networking| Aerospace| FPGA| Coding| System verilog| Automotive| Physical design,Engineering Design,"Engineering Design , R&D","IT-Software, Software Services",Design Engineer,2
 VERY Urgent Opening for IT Recruiter & Non IT Recruiter !! Apply NOW ,, hr| recruitment| recruiter| hiring| head hunting| leadership| mass hiring| volume hiring| bulk hiring| team leader| senior| tl| non it| it recruitment| technical hiring| it recruiter| bfsi| engineering| manufacturing| insurance| bpo| IT,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,1
 Associate,, Associate,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Accounts Executive/Accountant,0
 Receptionist (Female),, Receptionist| Administration| Front Desk| Travel Arrangements| Front Office| Computer Operating,,"Executive Assistant , Front Office , Data Entry","Banking, Financial Services, Broking",Receptionist,1
 Senior .NET Developer,, javascript| html| sql server| ajax| jquery| soa| oop| english| proactive| asp net c,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
 Sales Manager : School & Higher Academic Books,, marketing executive| Sales| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,Corporate Sales,"Sales , Retail , Business Development",Publishing,Sales/Business Development Manager,5
 Supply Chain - Import Export Executive,, QMS| Impex| Environmental Management System| Warehouse Management System| Export Import Logistics,Logistics,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Logistics Executive,1
 Walk-in Drive for Java Dev/sr. Dev on 29th June at Delhi,, Java| core java| J2EE| Hibernate| Spring| LDAP| ADFS| Json| SOAP| jQuery| REST| Javascript| Java Web Services| Java Api| Advanced Java| MVC| Web Services| Open Source| SOA| Cloud| spring integration,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
 Hiring for Spring Boot Developer-noida,, spring boot| spring security| spring mvc,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
 Dynamic CRM Architect,, Dynamics CRM| .Net| Azure| Visual Studio| Microsoft Dynamics| Solution Management| Root Cause| microservices| .NET development,Programming & Design,"IT Software - ERP , CRM","IT-Software, Software Services",Technical Architect,8
 SE / SSE - DATA,,vide,Programming & Design,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer,3
 Hiring for Accounts Manager (business Development)- Radio In,, Marketing Strategy| Strategic Thinking| Interpersonal Communication| Sales| Promotions| Accounting| Account Management| Team Leading| Business Development Management| Advertising,Retail Sales,"Sales , Retail , Business Development","Media, Entertainment, Internet",Sales/Business Development Manager,2
Urgent Openings for O2C,,O2C|OTC|Order Management|Credit Management|Communication Skills,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit",Accounting / Finance,Accounts Executive/Accountant,0
 ARCHITECTURAL CAD,, visualization| m e p| modeling| drafting| design development| drawings| cad| preparation| quality,Architectural Services,"Architecture , Interior Design","Construction, Engineering, Cement, Metals",Architect,2
" HCL Tech Hiring ""physical Design Engineers"" for VLSI R&D Division",, pnr| primetime| sta| floorplan| timing closure| synthesis| vlsi| Physical design| floor planning,Engineering Design,"Engineering Design , R&D","Semiconductors, Electronics",Senior Design Engineer,5
 Assistant Manager Purchase,, Assistant Manager Purchase,Purchase/Material Management,"Supply Chain , Logistics , Purchase , Materials","Electricals, Switchgears",Purchase Executive,10
 Sr. Cloud Developer,, SQL| Python| Analytics| Machine learning| Solution architecture| Analytical| SCALA| Cosmos| Programming| Data warehousing,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,5
 Hiring for Manager Quality ( Voice and Chat),, BPO| Transactional Quality| Quality Management| Quality manager| manager Quality,Quality,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Quality Assurance/Quality Control Manager,3
" South Indian Cook,",,vide,Senior Management,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Executive/Master Chef,2
 Sharepoint Support Engineer,, IIS| Exchange Server| Windows Server| WSS| Sharepoint| Active Directory,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security",IT-Hardware & Networking,Technical Support Engineer,5
 Asst Sales Manager_ API_ Chemical Distribution_ Mumbai,, pharma chemicals| business development| api| intermediates| sales,Corporate Sales,"Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Sales/Business Development Manager,7
 Java- Technical Lead- Tavant Technologies - Hyderabad,, Hibernate| Design Patterns| Cloud| Spring Boot| Team Leader| core java| Web Services| Microservices,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead,5
 Hiring For Oracle Apps DBA@ Hyderabad,, Exadata| performance tuning| 11g| patching| sql| dataguard| rac| cassandra| oracle database| Weblogic| ebs| asm| apps dba| cloning,Admin/Maintenance/Security/Datawarehousing,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",DBA,10
 Walk in For Pharmacist @ 1mg Technologies || Gurugram Sec 14,, hospital| pharma| pharmacy,R&D,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Pharmacist/Chemist/Bio Chemist,2
" Agency Manager || Life Insurance ||ahmedabad , Bhopal , Vadodara",, Sales| insurance sales| agency sales| Direct sales| life advisor| channel sales| life insurance advisor| life insurance| agency,Retail Sales,"Sales , Retail , Business Development",Insurance,Sales/Business Development Manager,2
 HR Trainer,, Training Needs| Soft Skills| Accent| HR| Feedback| Coaching| Customer Service| Process Compliance,Teachers,"Teaching , Education , Training , Counselling","BPO, Call Centre, ITeS",Technical / Process Trainer,2
 Project Manager For Civil Work,, Real Estate Construction| Project Management| Interpersonal Communication| Communication Skills| Project Manager| Project Coordinator| site coordinator,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Real Estate, Property",Project Manager-Production/Manufacturing/Maintenance,10
 Vacancy For Motion Graphic Artist,, Graphics| Multimedia| Visualization| Infographics| Social Media| Adobe After Effects| Protools| Photoshop| Graphic Designing| English Language,,Other,"IT-Software, Software Services",Other,5
 Business Associate,, international bpo| Chat Process| voice based process| tele caller| process developer| Sales| b.a| exl| communication skills| Ba| Blended Process| bba| wipro| tcs| bbm| customer support| bcom| cse| accenture| Fresher| wns,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","KPO, Research, Analytics",Associate/Senior Associate -(NonTechnical),0
 Project Support Officer/Administrator,, project support| Banking| Maya| E-commerce| big data,Technical Support,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Customer Support Engineer/Technician,1
" Immediate Requirement For Officer - IT @ Vibgyor High, Electronic City",, Networking| It Asset| Antivirus| Hardware Troubleshooting,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","Education, Teaching, Training",System Administrator,1
 Procurement - MDM,, Procurement| Business process| IT services| Automation| data services| Master data management| Consulting| Vendor| Troubleshooting| Business Executive,Purchase/Material Management,Purchase / Logistics / Supply Chain,"IT-Software, Software Services",Purchase/Vendor Development Manager,2
 If You're an Experienced in International Tech Sales Then Call Us / In,, Recruitment| Outbound| Technical support| English| Comp| Email| Troubleshooting| Domestic BPO| International BPO| Inbound calls,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),1
 Senior Game Artist,, Photoshop| Illustrator| Fine arts| Software design| User interface designing| game development| creative content| Supervision| Relationship Executive| Business Executive,Programming & Design,IT Software - Telecom Software,"Animation, Gaming",Graphic/Web Designer,3
